Smiles,PIC50
C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc2c(c1)OC(C)(C)O2,7.070581074
COc1ccc(C2COc3cc(O)c(O)cc3C2=O)cc1,4.721246399
CC(C)Cc1oc2ccccc2c(=O)c1O,4
CCCCCCCCOC(=O)NS(=O)(=O)Nc1cc(-c2cc3ccccc3[nH]2)ccc1OC,7.48148606
CCCC(=O)c1c(C(=O)OCC)[nH]c2cc(Cl)ccc12,6.13667714
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)Cc1ccc(OC)c(OC)c1,6.036212173
CCCc1cc(=O)c2ccc(O)cc2o1,4
CCCc1cc(=O)c2cc(O)ccc2o1,4
O=c1c(-c2ccccc2)coc2c(O)c(O)ccc12,4.886056648
CC(C)=CCC[C@@]1(C)CCC[C@]2(C)[C@H](Cc3cc(C(=O)O)ccc3O)C(C)=CC[C@@H]12,5.27572413
COc1cccc(CNc2ccc(S(=O)(=O)Nc3ccccc3)cc2)c1O,5.119186408
C[C@H](Cc1cc(O)c(O)cc1Cl)[C@@H](C)Cc1cc(O)c(O)cc1Cl,7.187086643
O=C(Nc1ccc(CCCCc2ccc(O)c(O)c2)cc1)c1ccccc1O,6.522878745
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)cc2Cl)c1C(=O)c1cccc(Br)c1,5.200659451
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=C/C(=O)NCc1ccccc1Cl,6.13076828
Oc1ccc(-c2ccccc2)c(O)c1,5
O=C1C=C(Cc2ccc3ccccc3c2)C(=O)C=C1O,5
Oc1cc2c(cc1O)C(c1ccccc1)CCC2,4.413412695
Oc1ccc(CCCCc2ccccc2)cc1O,5.13667714
Nc1[nH]c(C(=O)c2ccccc2)c(-c2cccc3ccccc23)c1C(=O)c1ccc(Cl)c(Cl)c1,4
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccccc2)c1C(=O)c1cccc(Cl)c1,4.168130226
Oc1c(Oc2ccc(Br)cc2Br)cc(Br)c(Br)c1Br,5.13076828
CNc1oc(-c2cccc3ccccc23)nc1C(=O)OC,4.397940009
CNc1sc(-c2cccc3ccccc23)nc1C#N,4.301029996
CCCCNc1oc(-c2cccc3ccccc23)nc1C#N,6.920818754
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,4.301029996
CCCCCCCCCCCCNC(=O)c1cc(-c2ccccc2)sc1N,4.325138859
CCCCNC(=O)c1c(N)sc(-c2ccccc2)c1C,4.301029996
CCCCN(CCCC)C(=O)c1cc(-c2ccccc2)sc1N,4.301029996
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(=O)Cc1ccc(F)cc1,6.113509275
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)COc1ccc([N+](=O)[O-])cc1,5
